group,exposedCount,nonExposedCount,exposedMAE,nonExposedMAE,exposedUnderCliffRate,nonExposedUnderCliffRate,exposedOverCliffRate,nonExposedOverCliffRate
free_all,1650,400,7.183636363636364,6.575,0.0,0.0,0.0,0.0
ALL,38847,8776,129.1183617782583,171.13787602552415,0.0352408165366695,0.04637648131267092,0.0028058794758926042,0.019257064721969006
light_all_seed1,3234,784,12.596165739022881,7.267857142857143,0.0,0.0,0.0,0.0
light_all_seed2,2640,640,12.590530303030302,10.0125,0.0,0.0,0.0,0.0
medium_core,2646,0,7.233938019652306,,0.0,,0.0,
heavy_all,6633,1608,11.045228403437358,8.598880597014926,0.0,0.0,0.0,0.0
oversat_all,11022,2672,342.59027399745963,545.8005239520958,0.12420613318816912,0.1523203592814371,0.009889312284521865,0.06324850299401198
west_bottleneck,3006,0,148.67664670658684,,0.0,,0.0,
north_bottleneck,2672,0,50.48278443113772,,0.0,,0.0,
east_bottleneck,2004,668,8.311377245508982,6.002994011976048,0.0,0.0,0.0,0.0
south_bottleneck,1336,1336,7.669910179640719,4.485778443113772,0.0,0.0,0.0,0.0
southwest_bottleneck,2004,668,225.99001996007985,7.426646706586826,0.0,0.0,0.0,0.0
