vehicleID,group,depart,predDuration,truthDuration,durationError,absDurationError,relativeDurationError,truthArrival,predArrival,truthWaitingTime,truthTimeLoss,routeHash,routePreview,firstEdge,lastEdge,edgeCount,exposedModifiedSignals,exposedAllSignals,modifiedSignalCount,firstModifiedSignal,candidateCauseLabel
oversat_all_veh_002607,oversat_all,59890.0,44.0,8284.0,-8240.0,8240.0,0.994689,71186.0,59934.0,7972.0,8247.0,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_002812,oversat_all,60040.0,73.0,8017.0,-7944.0,7944.0,0.990894,73796.0,60113.0,7744.0,7979.58,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_002648,oversat_all,59920.0,102.0,8008.0,-7906.0,7906.0,0.987263,71189.0,60022.0,7716.0,7969.47,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_002853,oversat_all,60070.0,44.0,7929.0,-7885.0,7885.0,0.994451,73887.0,60114.0,7660.0,7889.81,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_001951,oversat_all,59410.0,73.0,7918.0,-7845.0,7845.0,0.990781,67328.0,59483.0,7618.0,7869.25,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_002566,oversat_all,59860.0,73.0,7914.0,-7841.0,7841.0,0.990776,70466.0,59933.0,7624.0,7877.16,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_002484,oversat_all,59800.0,44.0,7846.0,-7802.0,7802.0,0.994392,70204.0,59844.0,7564.0,7808.28,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_002525,oversat_all,59830.0,102.0,7849.0,-7747.0,7747.0,0.987005,70288.0,59932.0,7573.0,7811.38,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_001910,oversat_all,59380.0,102.0,7847.0,-7745.0,7745.0,0.987001,67227.0,59482.0,7532.0,7807.47,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_001992,oversat_all,59440.0,44.0,7749.0,-7705.0,7705.0,0.994322,67407.0,59484.0,7472.0,7709.26,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_002976,oversat_all,60160.0,44.0,7656.0,-7612.0,7612.0,0.994253,75146.0,60204.0,7453.0,7618.15,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_003058,oversat_all,60220.0,73.0,7658.0,-7585.0,7585.0,0.990467,75237.0,60293.0,7440.0,7618.87,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_003099,oversat_all,60250.0,44.0,7580.0,-7536.0,7536.0,0.994195,75239.0,60294.0,7367.0,7541.76,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_003017,oversat_all,60190.0,102.0,7581.0,-7479.0,7479.0,0.986545,75150.0,60292.0,7382.0,7542.55,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_002935,oversat_all,60130.0,73.0,7489.0,-7416.0,7416.0,0.990252,74968.0,60203.0,7233.0,7447.28,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_003140,oversat_all,60280.0,102.0,7482.0,-7380.0,7380.0,0.986367,75241.0,60382.0,7271.0,7444.3,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_002894,oversat_all,60100.0,102.0,7477.0,-7375.0,7375.0,0.986358,74606.0,60202.0,7197.0,7439.96,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_002443,oversat_all,59770.0,73.0,7398.0,-7325.0,7325.0,0.990132,69747.0,59843.0,7118.0,7360.43,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_002402,oversat_all,59740.0,102.0,7387.0,-7285.0,7285.0,0.986192,69656.0,59842.0,7116.0,7350.08,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
oversat_all_veh_003181,oversat_all,60310.0,73.0,7298.0,-7225.0,7225.0,0.989997,75327.0,60383.0,7083.0,7259.19,55e9af98fb6e,-E4 -> -E15 -> -E16 -> -E18,-E4,-E18,4,,J20;J24;J25,0,,oversat_under_cliff_all_corridor
